id,name,description,priority,dateadded,startdate,duedate,datefinished,addedfrom,is_added_from_contact,status,recurring_type,repeat_every,recurring,is_recurring_from,cycles,total_cycles,custom_recurring,last_recurring_date,rel_id,rel_type,is_public,billable,billed,invoice_id,hourly_rate,milestone,kanban_order,milestone_order,visible_to_client,deadline_notified
18,"Commission, Reporting  Basics","<div>1. As and when a<span>&nbsp;</span><span class=""il"">product</span><span>&nbsp;</span>is purchased by the buyer, the payment is made by the buyer, the payment reaches to the seller PayPal directly. The commission which you set in the backend, will get calculated and get deducted(along with its accounting recorded) from the member's deposits as mentioned in above point #4.</div>
<div></div>
<div>2. The seller(member) will have a reporting function, where they can see a summary of orders, details of each order, and update shipping details, as well as check the commissions they paid to you, and the remaining balance of deposits.</div>
<div></div>
<div>3. A member can add more money to the deposits and it gets automatically updated in the balance of wallet or deposit of members with you.</div>
<div></div>",2,14-12-2018 14:00,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,1,0,0,0,1,0,4,1,0
19,Reporting feature in admin,"<div><span>In admin panel, you will have additional reporting page where you can check all the&nbsp;<span class=""il"">products</span>&nbsp;sold, with respective values, commissions deducted from balances, and deposits balance left for each member.&nbsp; Also, with filtration options with date range and if you need to see transactions only for a given member.</span></div>
<div></div>",2,14-12-2018 14:01,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,1,0,0,0,1,0,5,1,0
20,Email triggers as option to BD site owners,"<ol>
<li>We shall give up to 4 email at respective trigger points(like on purchase, commission, wallet upload, wallet balance over, product actives, product inactives.)<br /><br /></li>
<li>Ability to BD-Ecommerce owners to edit any of these emails.</li>
</ol>
These will be the emails which will trigger to members, to customers on events like purchase done, commission deducted, balance in wallet of member, etc. (need to planned /discussed in details)",2,14-12-2018 14:04,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,1,0,0,0,1,0,6,1,0
21,Wallet upload and dependent feature in admin & dashboard,"<ol>
<li>To make wallet for members.</li>
<li>Members to add money in it</li>
<li>Admin report to showcase the amounts in wallet as on date on any of the members</li>
<li>Admin report to showcase the log of debits and credits from /across the members wallet for commissions</li>
</ol>",2,14-12-2018 14:10,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,1,0,0,0,1,0,0,1,0
22,To Add Stripe in payments settings for members,"To make necessary customizations in place where members can follow small guide and copy their credentials from their strip account -&gt; paste them in the settings area of their respective dashboard.<br /><br />So when end consumer buys the product, the member selling the product gets the payment.<br /><br />Commissions deducted from wallet",2,14-12-2018 14:14,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,1,0,0,0,2,0,0,1,0
23,Stripe distributed payments,,2,14-12-2018 14:16,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,1,0,0,0,3,0,0,1,0
24,Signup page design https://www.ptdirectory.com/sign1,need to make page like this https://www.massagefinders.com/spas-sign-up (reference page)<br /><br /><br />in signup-today page of ptdirectory.com (edited),2,15-12-2018 01:49,11-12-2018,NULL,17-12-2018 13:21,1,0,5,NULL,0,0,NULL,0,0,0,NULL,5,project,0,1,1,1,0,0,0,0,1,0
25,List of BD plugins we making and making projects out of it,Making list of plugins we are making and their stages.<br /><br />Making projects for each plugins separately,4,15-12-2018 03:33,06-04-2019,06-04-2019,NULL,1,0,4,NULL,0,0,NULL,0,0,0,NULL,4,customer,0,1,0,0,0,0,32,0,0,0
27,Logo to be updated,Final logo file received from logo designer.,2,16-12-2018 02:04,16-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,0,0,0,0,1,0
28,Payment Gateway setup,"<p>Paypal #</p>
<p>&nbsp;</p>
<p>Paypal account is:<br /><a href=""mailto:capitalvacuums@gmail.com"">capitalvacuums@gmail.com</a><br />password: kickasspass1</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>We Requested the client to share the stripe credentials.<br /><strong>Email sent to Client:<br /></strong><br />Hi,<br /><br />Yes the website is ready with all respect.<br />I checked it again and we need to add payment gateway.<br /><br /></p>
<p>Do you have stripe account for this business? If yes, please share the stripe's following details:<br /><span class=""required"">*&nbsp;</span>Publishable Key<br />* Secret Key<br /><br />If you are not able to make out where to find these details, please share your stripe account login credentials and we will do it for you.<br /><br /><br /><br />Regards,<br />Yakin Shah</p>",2,16-12-2018 21:30,16-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,0,0,0,0,1,0
30,Transponnect : Increase the box size so the am pm is visible,"<p>in get matched form, incrase width of the date and time box screenshot is self explanatory <a href=""http://prntscr.com/lw44z8"" target=""_blank"" rel=""nofollow noopener"">http://prntscr.com/lw44z8</a></p>",3,17-12-2018 11:12,17-12-2018,NULL,18-03-2019 17:29,1,0,5,NULL,0,0,NULL,0,0,0,NULL,10,project,0,0,0,0,0,0,0,0,1,0
31,transponnect - spelling errors on get matched forms,check the checklist,4,17-12-2018 11:14,17-12-2018,20-12-2018,18-03-2019 17:29,1,0,5,NULL,0,0,NULL,0,0,0,NULL,10,project,0,1,0,0,0,0,0,0,1,1
32,transponnect - search box inside the search results page,as seen in screenshot http://prntscr.com/lw4ceb<br /><br />search results page's left sidebar has a search box<br /><br />this search box needs to be tested,3,17-12-2018 11:25,17-12-2018,NULL,18-03-2019 17:29,1,0,5,NULL,0,0,NULL,0,0,0,NULL,10,project,0,1,0,0,0,0,0,0,1,0
37,Reviewing the company  (Linkedin Integration) currently default,"<style type=""text/css""><!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--></style>
<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Linkedin Integrattion while reviewing&quot;}"" data-sheets-userformat=""{&quot;2&quot;:899,&quot;3&quot;:{&quot;1&quot;:0},&quot;4&quot;:[null,2,16776960],&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0}"">Linkedin Integrattion while reviewing<br /><br />Business email<br /><br />Further next steps would be:<br />1 - getting this per project basis<br />2 - project message verified etc<br />3 - overall next steps to be brainstormed</span>",2,18-12-2018 00:09,18-12-2018,NULL,NULL,1,0,4,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,1,8,0,0,32,0,1,0
38,Applying review with portfolios,"<style type=""text/css""><!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--></style>
<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Linkedin Integrattion while reviewing&quot;}"" data-sheets-userformat=""{&quot;2&quot;:899,&quot;3&quot;:{&quot;1&quot;:0},&quot;4&quot;:[null,2,16776960],&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0}"">Linkedin Integrattion while reviewing<br /><br />Business email<br /><br />Further next steps would be:<br />1 - getting this per project basis<br />2 - project message verified etc<br />3 - overall next steps to be brainstormed</span>",2,18-12-2018 00:23,18-12-2018,NULL,NULL,1,0,4,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,32,0,1,0
39,Home page background video,<pre id="line1">Can we Upload this video in Your Bd site?<br /><br />Check video here: <a href="https://pmp.businesslabs.org/admin/projects/view/https:\/\/vacuumdealerdirectory.com\/wp-content\/uploads\/2017\/08\/KickAssBusterBuyersGuide-1080p-HV.mp4" target="_blank" rel="noopener"><span>https:\/\/vacuumdealerdirectory.com\/wp-content\/uploads\/2017\/08\/KickAssBusterBuyersGuide-1080p-HV.mp4</span></a></pre>,4,18-12-2018 07:05,18-12-2018,NULL,05-01-2019 10:46,2,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,0,0,0,0,1,0
40,Custom design of Profile page - 1st section,"We will design the first section of your member's profile page in BD site like the one you have in this&nbsp;https://vacuumdealerdirectory.com/listing/stony-brook-sew-vacuums-inc/<br /><br />ETA 1day /2days.<br /><br />So all your 70 existing members will have the hero image, as well as all your new members&nbsp;can also place one hero image in their respective profiles.",1,18-12-2018 07:14,18-12-2018,20-12-2018,05-01-2019 10:46,2,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,1,0,0,0,0,0,0,1,0
41,Search Radius from 5 to 100 miles,<br />Search Radius from&nbsp; current 5 miles to 100 miles,2,18-12-2018 07:21,18-12-2018,NULL,05-01-2019 10:46,2,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,0,0,0,0,1,0
42,Responsive issues portfolio item (big screen as well as mobile),"<p>1. screenshot 1: <a href=""http://prntscr.com/lwk249"" target=""_blank"" rel=""nofollow noopener"">http://prntscr.com/lwk249&nbsp;</a>;;;;;DONE<br /><br />2. screenshot 2: <a href=""http://prntscr.com/lwk3jj"" target=""_blank"" rel=""noopener"">http://prntscr.com/lwk3jj</a> DONE<br /><br /><strong>3. In profile detail page: - Done<br /></strong></p>
<ul>
<li>the portfolio section has to be made a good separate section.. not merge title on above section. - Done</li>
<li>And portfolio items to be perfectly aligned - Done</li>
<li>Make the hover sweet effect...when mouse over on portfolio items - Done</li>
<li>Any bugs to be removed - Done</li>
<li>Greentick mark is not by default, but only when the client has submitted the portfolio review (not just simple review) more on it to be discussed as we are on it specific task. - Done</li>
</ul>
<p>&nbsp;</p>
<p>4. In mobile ""Company details"" is coming. In large screen it is not coming. First check whether the profile really has company details and in large screen we went wrong? Or is it we went wrong on only mobile. - DONE.</p>
<p>&nbsp;</p>
<p>5. Screenshot 3:&nbsp;<a href=""http://prntscr.com/lwkanz"">http://prntscr.com/lwkanz</a> - DONE.</p>
<p>&nbsp;</p>
<p>6. Screenshot 4:&nbsp; &nbsp;<a href=""http://prntscr.com/lwkc2f"">http://prntscr.com/lwkc2f</a> &nbsp;click is not working on mobile.. test in real moble and solve. - DONE.</p>
<p>&nbsp;</p>
<p>7. See in desktop all three buttons coming&nbsp;<a href=""http://prntscr.com/lwkdby"">http://prntscr.com/lwkdby</a> &nbsp; | BUT - See in mobile only two buttons coming&nbsp;<a href=""http://prntscr.com/lwkcrk"">http://prntscr.com/lwkcrk</a> - DONE</p>
<p>&nbsp;</p>",1,18-12-2018 10:05,18-12-2018,NULL,10-10-2019 17:04,1,0,5,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,1,8,0,0,0,0,1,0
43,Title of portfolio in center,"<style type=""text/css""><!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--></style>
<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Title of portfolio in center&quot;}"" data-sheets-userformat=""{&quot;2&quot;:897,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0}"">Title of portfolio in center as discussed with giri</span>",1,18-12-2018 10:29,18-12-2018,NULL,26-09-2019 19:14,1,0,5,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,0,0,1,0
44,Portfolio Approval managmeent comment box name rename,Currently:Send Message<br /><br />To be:&nbsp; &nbsp;Write your Comment,1,18-12-2018 10:32,18-12-2018,NULL,11-10-2019 15:31,1,0,5,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,0,0,1,0
45,Make the draft /under review or not approved portfolios with tockens,"<style type=""text/css""><!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--></style>
<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;To make the draft or under review or not approved portfolios urls with tockens or not accessible by anyone else then the specific member and the admin&quot;}"" data-sheets-userformat=""{&quot;2&quot;:897,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0}"">To make the draft or under review or not approved portfolios urls with tockens or not accessible by anyone else then the specific member and the admin</span>",1,18-12-2018 10:35,18-12-2018,NULL,NULL,1,0,4,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,32,0,1,0
46,Review admin dashboard,"<style type=""text/css""><!--td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}--></style>
<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Review admin dashboard&quot;}"" data-sheets-userformat=""{&quot;2&quot;:897,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0}"">Review admin dashboard</span>",2,18-12-2018 10:36,18-12-2018,NULL,NULL,1,0,4,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,32,0,1,0
48,Thank you (end page) page of review submission,Currently the reviews submission end page(last page) is like this&nbsp;<a href="http://prntscr.com/lwko3j" target="_blank" rel="noopener">http://prntscr.com/lwko3j</a><br /><br />Which needs to be rethought and planned.,3,18-12-2018 10:43,18-12-2018,NULL,20-11-2023 13:32,1,0,5,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,0,0,1,0
49,Start page of review(common member review),"<p>Current start page of review looks lke this&nbsp;&nbsp;http://prntscr.com/lwkpd5<br /><br />need to think and plan (also we need to change few words, add few words in the first page of review starts (will need to be discussed then start)</p>",3,18-12-2018 10:45,18-12-2018,NULL,20-11-2023 13:33,1,0,5,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,0,0,1,0
50,Reviews management plugin,"<p>Yakin to explain it in details.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>To ensure we have a way to check if client reviews via linked or business email.</p>
<p>If linkedin, to have email, name, phone, linkedin profile url&nbsp;&nbsp;</p>
<p>If business email, yakin to plan and detail it here...</p>",3,18-12-2018 10:51,18-12-2018,NULL,20-11-2023 13:32,1,0,5,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,0,0,1,0
51,add business email process - company review/normal review,also to add business email process if client dont have linkedin (will need to be discussed then start),4,18-12-2018 10:58,18-12-2018,NULL,NULL,1,0,4,NULL,0,0,NULL,0,0,0,NULL,7,project,0,1,0,0,0,0,32,0,1,0
56,Certifications List,"List of Certifications to add<br />
<br />
C-TPAT<br />
CARB Compliant<br />
FAST<br />
Hazardous Materials<br />
PIP<br />
Smartway<br />
TWIC Card<br />
Minority Owned<br />
Woman Owned<br />
*Other* (will stay as well)",4,18-12-2018 13:18,18-12-2018,NULL,18-03-2019 17:29,8,1,5,NULL,NULL,0,NULL,0,0,0,NULL,10,project,0,0,0,0,0,0,0,0,1,0
57,To not have auto complete phone number coming,To check if there is a way to block or not have this auto compete (where phone number pops)<br /><br /><img src="https://mail.google.com/mail/u/1?ui=2&amp;ik=1e937d28f7&amp;attid=0.1&amp;permmsgid=msg-a:r4729426909844716787&amp;th=167c31286dfb2365&amp;view=fimg&amp;sz=s0-l75-ft&amp;attbid=ANGjdJ8QzUBbbdoV0bmNbGZPv0dlH5OwqtBBTr0QCF3utUvAIwlbNx1gke8To4Se1Al9yXep83GRdpEajXcJ36wEkZNxPuXD5WQWMgG8J1oCJ9NzSdo33C45D1CD_60&amp;disp=emb&amp;realattid=ii_jpu7yijn0" alt="image.png" width="486" height="265" /><br />,4,18-12-2018 16:17,18-12-2018,NULL,18-03-2019 17:29,1,0,5,NULL,0,0,NULL,0,0,0,NULL,10,project,0,0,0,0,0,0,0,0,1,0
58,Error - True instead of Full Truck in lane entering,"<div>We select full truck in capacity.</div>
<div>But in below table, it shows as True instead of Full Truck.</div>
<div></div>
<div>To solve.</div>
<br /><img src=""http://prntscr.com/lwpbhb"" alt="""" />screenshot:&nbsp; &nbsp;<a href=""http://prntscr.com/lwpbhb"" target=""_blank"" rel=""noopener"">http://prntscr.com/lwpbhb</a>",4,18-12-2018 16:21,18-12-2018,NULL,18-03-2019 17:29,1,0,5,NULL,0,0,NULL,0,0,0,NULL,10,project,0,1,0,0,0,0,0,0,1,0
59,Initial as per scope,Initial as per scope,2,18-12-2018 16:24,18-12-2018,NULL,18-03-2019 17:29,1,0,5,NULL,0,0,NULL,0,0,0,NULL,10,project,0,0,0,0,0,0,0,0,1,0
60,Date and FCFS in get matched form,<div dir="ltr" gmail_original="1">So irrespective of appointment is yes or<span>&nbsp;</span><g class="gr_ gr_21 gr-alert gr_gramm gr_inline_cards gr_disable_anim_appear Punctuation multiReplace" id="21" data-gr-id="21">no..</g><span>&nbsp;</span>date and<span>&nbsp;</span><g class="gr_ gr_34 gr-alert gr_spell gr_inline_cards gr_disable_anim_appear ContextualSpelling" id="34" data-gr-id="34">fcfs</g>&nbsp;should come.</div>,4,18-12-2018 16:41,18-12-2018,NULL,18-03-2019 17:29,1,0,5,NULL,0,0,NULL,0,0,0,NULL,10,project,0,1,0,0,0,0,0,0,1,0
62,Left side bar - search box,"<p>Make the left side bar search box to have Category selection (input method) instead of 'name or keywords'<br /><br />As seen here&nbsp;<a href=""http://prntscr.com/lwz666"" target=""_blank"" rel=""noopener"">http://prntscr.com/lwz666</a></p>
<p>&nbsp;</p>
<p>Also same to do in the header of the site name or keyword.</p>",2,19-12-2018 08:05,19-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,0,0,0,0,1,0
68,mailchimp in search.bossychicago.com,"<div>Mailchimp</div>
<div>&nbsp;</div>
<div>Username:&nbsp;<a href=""mailto:bossy.chicago@gmail.com"" target=""_blank"" rel=""noopener"">bossy.chicago@gmail.com</a></div>
<div>PW:&nbsp;#n5ZvN2!</div>
<div>&nbsp;</div>
<div>BD:&nbsp;</div>
<div>&nbsp;</div>
<div>Username:&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>",4,19-12-2018 21:45,19-12-2018,20-12-2018,21-12-2018 16:02,1,0,5,NULL,0,0,NULL,0,0,0,NULL,10,lead,0,0,0,0,0,0,0,0,0,0
69,V1.1 - Having the equipments visible inside lane,Screenshot:&nbsp;http://prntscr.com/lx2o4i&nbsp; &nbsp; &nbsp; and development team to discuss with yakin.,2,19-12-2018 22:09,19-12-2018,NULL,NULL,1,0,1,NULL,0,0,NULL,0,0,0,NULL,15,project,0,1,0,0,0,0,0,0,0,0
70,Mass Movers - Create an additional address field on the form,"<div><strong>Mass movers managemyadmin credentials:</strong><br /><strong>user:</strong>&nbsp; pat@projectpat.io<br /><strong>Pass:&nbsp;</strong> VsejCglQ6GXH</div>
<div>&nbsp;</div>
<div><a class=""textEditor-link"" href=""http://w1049startbd.directoryup.com/"" target=""_blank"" rel=""nofollow noopener noreferrer"" data-is-link=""http://w1049startbd.directoryup.com"">http://w1049startbd.directoryup.com</a> Site ID: 12251</div>
<div>&nbsp;</div>
<div><strong>PAGE URL</strong>: <a class=""textEditor-link"" href=""http://w1049startbd.directoryup.com/file-complaint"" target=""_blank"" rel=""nofollow noopener noreferrer"" data-is-link=""http://w1049startbd.directoryup.com/file-complaint"">http://w1049startbd.directoryup.com/file-complaint</a></div>
<div><strong>FORM TO USE</strong>: file-complaint-form<br /><br /><br />Image below<br /><br /><img src=""https://app.asana.com/app/asana/-/get_asset?asset_id=951885883268224"" alt="""" /></div>",4,19-12-2018 23:26,20-12-2018,20-12-2018,19-01-2019 00:05,1,0,5,NULL,0,0,NULL,0,0,0,NULL,5,customer,0,1,1,11,40,0,0,0,0,0
